x,y
3687.3500947494936,-0.45657533407211304
3710.545540543574,-0.47190409898757935
3733.7410433896034,-0.4828451871871948
3756.9366032884245,-0.498266339302063
3780.1322202385004,-0.5092638731002808
3803.3278942498855,-0.5247709155082703
3826.5236253123758,-0.5358219146728516
3849.7194134302454,-0.5514096021652222
3872.9152586009072,-0.5625113248825073
3896.1111608260726,-0.5736239552497864
3919.307120106504,-0.5893266201019287
3942.5031364398874,-0.6004875898361206
3965.699209825936,-0.6162631511688232
3988.895340268934,-0.6274713277816772
4012.0915277647205,-0.6433186531066895
4035.287772312485,-0.6545729637145996
4058.4840739163483,-0.6704901456832886
4081.6804325720705,-0.6817900538444519
4104.876848280454,-0.6977763175964355
4128.073321046732,-0.7091214656829834
4151.269850861457,-0.7204761505126953
4174.466437729668,-0.7365655899047852
